StartSession,15:20:57.2665984
(369, 214),15:30:19.3740416
(370, 214),15:30:19.5259904
(371, 214),15:30:21.7140608
(372, 214),15:30:24.8022656
(373, 214),15:30:24.9652736
(374, 214),15:30:25.1322624
(375, 214),15:30:25.3071360
(376, 214),15:30:25.4632448
(377, 214),15:30:25.6142208
(378, 214),15:30:25.9001728
(379, 214),15:30:29.5993728
(380, 214),15:30:29.7893376
(381, 214),15:30:29.9763968
(382, 214),15:30:30.1573632
(383, 214),15:30:30.3133568
(384, 214),15:30:30.4893312
(385, 214),15:30:33.7795712
(386, 214),15:30:33.9266304
(387, 214),15:30:34.1395072
(388, 214),15:30:34.3126016
(389, 214),15:30:34.5236608
(390, 214),15:30:34.7125504
(391, 214),15:30:34.9065728
(392, 214),15:30:35.0925696
(393, 214),15:30:35.8626432
(394, 214),15:30:45.6521088
(395, 214),15:30:45.8230656
(396, 214),15:30:46.0230784
(397, 214),15:30:46.5009792
(398, 214),15:30:46.7410304
(399, 214),15:30:46.9590272
(400, 214),15:30:47.1769856
(401, 214),15:30:47.3430400
(402, 214),15:30:47.5110912
(403, 214),15:30:52.0711808
(404, 214),15:30:52.2232448
(405, 214),15:30:52.3942144
(406, 214),15:30:52.7312640
(407, 214),15:30:52.8892800
(408, 214),15:30:56.7973504
(409, 214),15:30:57.0824704
(410, 214),15:30:57.2654208
(411, 214),15:30:57.6213888
(412, 214),15:30:57.8085248
(413, 214),15:30:57.9845120
(414, 214),15:30:58.1555328
(415, 214),15:30:58.1736192
(416, 214),15:30:58.3524480
(417, 214),15:31:02.3956480
(418, 214),15:31:02.6747008
(419, 214),15:31:02.9986688
(420, 214),15:31:03.0487552
(421, 214),15:31:03.2247424
(422, 214),15:31:03.4386304
(423, 214),15:31:03.6686976
(424, 214),15:31:06.9618688
(425, 214),15:31:07.1608320
(426, 214),15:31:07.5268992
(427, 214),15:31:07.6869632
(428, 214),15:31:07.8328448
(429, 214),15:31:08.0869760
(429, 215),15:31:12.8190464
(429, 216),15:31:12.9841664
(429, 217),15:31:13.1740416
(429, 218),15:31:13.4371072
(429, 219),15:31:13.6031232
(429, 220),15:31:13.7540608
(429, 221),15:31:13.9211904
(430, 221),15:31:17.4202752
(431, 221),15:31:17.5822080
(432, 221),15:31:17.7652864
(433, 221),15:31:17.9182848
(434, 221),15:31:18.0882176
(435, 221),15:31:18.2553344
(436, 221),15:31:18.5803392
(437, 221),15:31:18.7542912
(438, 221),15:31:22.4564736
(439, 221),15:31:22.8304768
(440, 221),15:31:22.9924736
(441, 221),15:31:23.1615616
(442, 221),15:31:23.3165440
(443, 221),15:31:23.4945152
(444, 221),15:31:23.6484864
(445, 221),15:31:26.1085440
(446, 221),15:31:26.2656128
(447, 221),15:31:26.4115584
(448, 221),15:31:26.6566784
(449, 221),15:31:26.8925696
(450, 221),15:31:27.4686464
(451, 221),15:31:27.6796032
(452, 221),15:31:27.8417792
(453, 221),15:31:28.0806784
(454, 221),15:31:28.2746496
(455, 221),15:31:28.4676736
(456, 221),15:31:28.6316544
(457, 221),15:31:28.7918208
(458, 221),15:31:29.2388224
(459, 221),15:31:29.3888128
(460, 221),15:31:32.0739456
(461, 221),15:31:33.3879168
(462, 221),15:31:33.7969280
(463, 221),15:31:34.0869376
(463, 222),15:31:34.5959168
(463, 223),15:31:34.8589056
(463, 224),15:31:35.0679808
(463, 225),15:31:35.4530688
(464, 225),15:31:41.8833152
(465, 225),15:31:42.0782336
(466, 225),15:31:46.2384000
(467, 225),15:31:46.4544128
(468, 225),15:31:46.8184448
(468, 226),15:31:51.1946880
(468, 227),15:31:51.3395840
(468, 228),15:31:51.4826752
(469, 228),15:31:51.4876544
(470, 228),15:31:51.6915968
(471, 228),15:31:55.6438784
(472, 228),15:31:55.8988416
(473, 228),15:31:56.0148352
(474, 228),15:31:56.2047744
(475, 228),15:31:56.3567872
(476, 228),15:31:56.5268352
(477, 228),15:31:56.6838016
(477, 229),15:32:01.5889920
(478, 229),15:32:01.6020224
(478, 230),15:32:01.7911552
(479, 230),15:32:02.1040384
(480, 230),15:32:02.2821120
(481, 230),15:32:02.2981632
(482, 230),15:32:02.7181824
(482, 231),15:32:03.1591168
(482, 232),15:32:03.3101824
(482, 233),15:32:03.4740608
(482, 234),15:32:03.6331776
(482, 235),15:32:03.9531648
(483, 235),15:32:07.7223680
(484, 235),15:32:07.8812416
(485, 235),15:32:08.0722944
(486, 235),15:32:08.2473088
(487, 235),15:32:08.4002560
(488, 235),15:32:08.5563776
(489, 235),15:32:08.7054080
(490, 235),15:32:15.9335168
(491, 235),15:32:16.1086720
(492, 235),15:32:16.3256320
(493, 235),15:32:16.4786304
(494, 235),15:32:16.6575616
(495, 235),15:32:16.8977024
(496, 235),15:32:17.3176576
(497, 235),15:32:20.1998464
(497, 236),15:32:20.4698624
(497, 237),15:32:20.6477312
(497, 238),15:32:20.8147456
(497, 239),15:32:21.0308096
(498, 239),15:32:26.3570560
(499, 239),15:32:26.4980096
(500, 239),15:32:26.6671104
(501, 239),15:32:30.6161664
(502, 239),15:32:30.7941120
(503, 239),15:32:30.9961344
(504, 239),15:32:31.1811328
(505, 239),15:32:31.3281536
(506, 239),15:32:31.4881920
(507, 239),15:32:35.9793280
(508, 239),15:32:36.2154752
(509, 239),15:32:36.4194944
(510, 239),15:32:36.6013696
(511, 239),15:32:36.7464960
(512, 239),15:32:36.9033984
(513, 239),15:32:41.1375744
(514, 239),15:32:41.3426304
(515, 239),15:32:41.5597184
(516, 239),15:32:41.7376512
(517, 239),15:32:41.9047168
(518, 239),15:32:42.0527360
(519, 239),15:32:42.2056576
(520, 239),15:32:42.3565952
(520, 240),15:32:47.2288512
(520, 241),15:32:47.4108160
(520, 242),15:32:47.6269440
(520, 243),15:32:47.7689472
(520, 244),15:32:47.8988416
(520, 245),15:32:48.1249920
(520, 246),15:32:48.2689408
(520, 247),15:32:48.4559488
(520, 248),15:32:49.0589440
(520, 249),15:32:49.2328704
(521, 249),15:32:52.3120640
(522, 249),15:32:52.4601088
(523, 249),15:32:52.6529920
(524, 249),15:32:52.8411136
(525, 249),15:32:52.9881728
(526, 249),15:32:53.1561728
